continent,date,iso_code,location,month,new_vaccinations,new_vaccinations_smoothed,people_fully_vaccinated,people_vaccinated,total_vaccinations
Asia,2021-04-30 00:00:00,IRQ,Iraq,4,0.0,8610.0,0.0,0.0,0.0
South America,2021-04-30 00:00:00,ARG,Argentina,4,150207.0,151115.0,938563.0,6926650.0,7865213.0
Asia,2021-04-30 00:00:00,THA,Thailand,4,65464.0,54519.0,381848.0,1095230.0,1477078.0
Africa,2021-04-30 00:00:00,NER,Niger,4,0.0,2910.0,0.0,0.0,0.0
Oceania,2021-04-30 00:00:00,WLF,Wallis and Futuna,4,0.0,133.0,0.0,0.0,0.0
Europe,2021-04-30 00:00:00,HUN,Hungary,4,177418.0,120354.0,1948728.0,4023137.0,5971865.0
Europe,2021-04-30 00:00:00,LVA,Latvia,4,11509.0,8556.0,54343.0,263809.0,317837.0
Europe,2021-04-30 00:00:00,BEL,Belgium,4,81994.0,64218.0,850031.0,3071615.0,3917826.0
North America,2021-04-30 00:00:00,VCT,Saint Vincent and the Grenadines,4,0.0,116.0,0.0,14511.0,14511.0
Asia,2021-04-30 00:00:00,ARM,Armenia,4,0.0,261.0,0.0,0.0,0.0
Oceania,2021-04-30 00:00:00,FJI,Fiji,4,0.0,1762.0,0.0,0.0,0.0
Asia,2021-04-30 00:00:00,IRN,Iran,4,65532.0,50809.0,209827.0,858296.0,1068123.0
Asia,2021-04-30 00:00:00,KHM,Cambodia,4,43686.0,52689.0,945222.0,1339566.0,2284788.0
Asia,2021-04-30 00:00:00,SYR,Syria,4,0.0,455.0,0.0,0.0,0.0
Africa,2021-04-30 00:00:00,BWA,Botswana,4,0.0,389.0,0.0,49882.0,49882.0
Europe,2021-04-30 00:00:00,MKD,North Macedonia,4,0.0,2031.0,0.0,61603.0,61603.0
Asia,2021-04-30 00:00:00,BRN,Brunei,4,0.0,432.0,0.0,0.0,0.0
Asia,2021-04-30 00:00:00,BTN,Bhutan,4,92.0,132.0,0.0,480422.0,480422.0
North America,2021-04-30 00:00:00,JAM,Jamaica,4,0.0,570.0,0.0,0.0,0.0
Asia,2021-04-30 00:00:00,TWN,Taiwan,4,3695.0,2194.0,0.0,0.0,57884.0
Africa,2021-04-30 00:00:00,MUS,Mauritius,4,0.0,2109.0,0.0,0.0,0.0
Asia,2021-04-30 00:00:00,LBN,Lebanon,4,566.0,9626.0,168466.0,293260.0,461726.0
Africa,2021-04-30 00:00:00,GIN,Guinea,4,2240.0,2373.0,48222.0,95312.0,143534.0
Europe,2021-04-30 00:00:00,SRB,Serbia,4,0.0,45951.0,1488034.0,2026571.0,3514605.0
Africa,2021-04-30 00:00:00,LBY,Libya,4,0.0,4600.0,0.0,0.0,0.0
South America,2021-04-30 00:00:00,COL,Colombia,4,162393.0,95451.0,1627032.0,3359439.0,4986471.0
Europe,2021-04-30 00:00:00,NLD,Netherlands,4,0.0,93471.0,0.0,0.0,0.0
Europe,2021-04-30 00:00:00,SVN,Slovenia,4,20966.0,7459.0,208682.0,426521.0,635203.0
Europe,2021-04-30 00:00:00,MLT,Malta,4,4410.0,4030.0,107038.0,228810.0,335848.0
South America,2021-04-30 00:00:00,URY,Uruguay,4,47440.0,36309.0,668468.0,1165669.0,1834137.0
Asia,2021-04-30 00:00:00,MAC,Macao,4,1692.0,2010.0,36062.0,68211.0,104136.0
North America,2021-04-30 00:00:00,TTO,Trinidad and Tobago,4,301.0,2108.0,0.0,42455.0,42455.0
Asia,2021-04-30 00:00:00,BHR,Bahrain,4,10995.0,11195.0,541747.0,693423.0,1235170.0
Asia,2021-04-30 00:00:00,UZB,Uzbekistan,4,0.0,31800.0,0.0,0.0,0.0
Asia,2021-04-30 00:00:00,IDN,Indonesia,4,178339.0,249423.0,7646284.0,12422253.0,20068537.0
Europe,2021-04-30 00:00:00,FRA,France,4,550658.0,402660.0,6509415.0,15746767.0,22197070.0
Asia,2021-04-30 00:00:00,MMR,Myanmar,4,0.0,67615.0,0.0,0.0,0.0
Asia,2021-04-30 00:00:00,PHL,Philippines,4,38876.0,30486.0,280045.0,1639806.0,1919851.0
Africa,2021-04-30 00:00:00,GHA,Ghana,4,0.0,317.0,0.0,0.0,0.0
Asia,2021-04-30 00:00:00,KWT,Kuwait,4,0.0,34841.0,0.0,0.0,0.0
Africa,2021-04-30 00:00:00,CIV,Cote d'Ivoire,4,8767.0,5116.0,0.0,149037.0,149037.0
Europe,2021-04-30 00:00:00,SVK,Slovakia,4,28021.0,23107.0,505036.0,1097582.0,1602618.0
Europe,2021-04-30 00:00:00,LUX,Luxembourg,4,0.0,2775.0,0.0,0.0,0.0
South America,2021-04-30 00:00:00,SUR,Suriname,4,0.0,468.0,0.0,0.0,0.0
Europe,2021-04-30 00:00:00,MNE,Montenegro,4,929.0,431.0,21589.0,40156.0,61745.0
Africa,2021-04-30 00:00:00,ZAF,South Africa,4,10065.0,3049.0,317656.0,317656.0,317656.0
